COUNTRY,amount
LU,645220779
ES,13845941637
IT,12416717297
IE,1518689440
NO,1040102016
BE,21310892627
RO,3766660853
DE,58836530896
GB,44427557766
NL,7308003205
FR,20528110686
GR,3389654957
TR,9382631
FI,2362315048
CZ,6673949982
PL,16205044657
AT,2355237499
DK,2232292867
SE,1526107650
SK,1786070081
LT,612429982
HU,2606528127
HR,372094506
PT,2985873864
BG,1603119474
LV,440759668
IS,38703493
EE,852417370
JE,272711881
CH,1704391475
US,1585464032
SI,777354632
BM,6291136
LI,4160054
CA,35202705
SG,1226024919
BZ,305806
CY,341834596
MT,36203487
,32167334555
NZ,1323667
IM,31176720
JP,8051626
AU,1783581388
KY,106283736
KR,8760855
MG,109586
EG,83364
UA,368191
SA,82541
TN,536243
GG,17999
PK,28434196
IL,1150358
HK,141505105
BS,2005722
AE,252342611
BR,2001439
PH,16799080
MX,9349699
VG,41498232
CL,1964012
PE,1410794
BB,1350328
TH,5513558
RU,1224296
DZ,154796
BY,31359
BN,83190
IN,1820083
QA,26101
CN,86346592
MA,730379
UY,1065
LB,37605112
MU,789949
AR,249
AZ,95359
ME,18143
LK,372840
VN,344038
KZ,85371
IR,214115
CV,7960
RE,562642
ET,710868
GI,17068156
AW,2902
VI,15
MD,19281
TC,9032805
ID,4066926
MY,13436312
SC,8561811
TW,1842271
AI,81000
AN,200000
KN,1349000
FO,89277
GL,52237
RS,76569
AL,33980
MC,187
TM,739
UG,3237117
NG,58176
GT,6
KE,323477
ZA,813215
KW,210
LY,10844
CO,156
GE,11512
VE,230
SY,43107
PA,71
AM,6
